,model_name,f1
0,Pairwise_SGD,0.8399738732854343
1,Pairwise_RMS,0.8241039343960195
2,Pairwise_LARS,0.8192637697204539
3,Triplet_SGD,0.8816357156255863
4,Triplet_LARS,0.8699754670692582
5,Triplet_RMS,0.8480989294942785
6,InfoNCE_SGD,0.8483976204183459
7,InfoNCE_LARS,0.8082901554404145
8,Supervised_SGD,0.7769590036325896
9,Supervised_RMS,0.7779156327543423
10,Supervised_LARS,0.8355614973262032
11,InfoNCE_RMS,0.8303053006180933
12,Pretrained_Pairwise,0.4488604256922208
13,Pretrained_Triplet,0.6224894291754757
14,Pretrained_InfoNCE,0.6463355999725255
15,Baseline,0.8289783982643145
